fpr,tpr,threshold
0.233,0.945031712473573,0.2732386359892107
0.236,0.945031712473573,0.26676985509700346
0.236,0.9460887949260042,0.2570441511538157
0.238,0.9460887949260042,0.2536890675173762
0.238,0.9471458773784355,0.2476926514344747
0.24,0.9471458773784355,0.2454052198151944
0.24,0.9482029598308668,0.24519322418417536
0.241,0.9482029598308668,0.24327084692960804
0.241,0.9492600422832981,0.2405892035810116
0.242,0.9492600422832981,0.23983311814551897
0.242,0.9503171247357294,0.23696849099085104
0.243,0.9503171247357294,0.235138789381747
0.243,0.9513742071881607,0.23501275809697106
0.247,0.9513742071881607,0.22846679959640936
0.247,0.952431289640592,0.22471644472448643
0.251,0.952431289640592,0.20972128899455092
0.251,0.9534883720930233,0.20892241565098132
0.252,0.9534883720930233,0.20479992971935027
0.252,0.9545454545454546,0.2036097714076374
0.254,0.9545454545454546,0.2003824616515752
0.254,0.9556025369978859,0.19655680286166013
0.264,0.9556025369978859,0.17690087162437276
0.264,0.9566596194503171,0.17436248516492742
0.265,0.9566596194503171,0.17084623792032394
0.265,0.959830866807611,0.16748562282369894
0.267,0.959830866807611,0.16154685757820286
0.267,0.9608879492600423,0.15846676102676285
0.27,0.9608879492600423,0.15564403616796527
0.27,0.9630021141649049,0.15366267891523352
0.274,0.9630021141649049,0.14910812964552525
0.274,0.9651162790697675,0.14818969191098902
0.278,0.9651162790697675,0.14223051644254858
0.278,0.9693446088794926,0.134035437853575
0.28,0.9693446088794926,0.13117108013850945
0.28,0.9704016913319239,0.131038745843329
0.281,0.9704016913319239,0.12580824046780098
0.281,0.9725158562367865,0.1215612724924475
0.282,0.9725158562367865,0.12086566574414208
0.282,0.9735729386892178,0.12006358160849233
0.285,0.9735729386892178,0.11785659342475233
0.285,0.9756871035940803,0.11427717926199664
0.292,0.9756871035940803,0.1097074378517891
0.292,0.9767441860465116,0.10469316549055697
0.293,0.9767441860465116,0.10413731856248344
0.293,0.9778012684989429,0.10380783955654638
0.297,0.9778012684989429,0.10006494177454128
0.297,0.9788583509513742,0.09884972390693648
0.301,0.9788583509513742,0.0957463762256969
0.301,0.9799154334038055,0.09488850812480192
0.303,0.9799154334038055,0.09374323336649303
0.303,0.9809725158562368,0.09326075125804574
0.314,0.9809725158562368,0.08319002101574272
0.314,0.9830866807610994,0.07840759013020816
0.327,0.9830866807610994,0.07074789506510823
0.327,0.9841437632135307,0.07068126065900368
0.343,0.9841437632135307,0.06550241999433745
0.343,0.985200845665962,0.06523849278506096
0.348,0.985200845665962,0.06343698687287347
